IRN,School District,County,FY12 Expenditures,FY12 Ending Cash,FY12 Cash as percentages of Expenses,FY13 Expenditures,FY13 Ending Cash,FY13 Cash as percentages of Expenses,FY14 Expenditures,FY14 Ending Cash,FY14 Cash as percentages of Expenses,FY15 Expenditures,FY15 Ending Cash,FY15 Cash as percentages of Expenses,FY16 Expenditures,FY16 Ending Cash,FY16 Cash as percentages of Expenses,5-Year Average,Typology
046920,Miami Trace Local,Fayette," $22,708,536 "," $5,995,572 ",26.40%," $22,619,700 "," $7,969,554 ",35.23%," $24,987,879 "," $9,429,038 ",37.73%,"$24,551,865","$10,849,257",44.2%,"$26,523,201","$12,299,103",46.4%,38.0%,1
046946,Canal Winchester Local,Franklin," $33,568,402 "," $7,010,064 ",20.88%," $33,676,932 "," $9,293,362 ",27.60%," $34,554,826 "," $13,036,299 ",37.73%,"$36,021,188","$17,407,677",48.3%,"$38,559,052","$21,849,779",56.7%,38.2%,5
046953,Hamilton Local,Franklin," $22,962,337 "," $8,812,320 ",38.38%," $23,165,807 "," $9,779,659 ",42.22%," $24,793,382 "," $9,975,230 ",40.23%,"$25,745,906","$10,431,175",40.5%,"$26,508,431","$11,892,523",44.9%,41.2%,4
046961,Gahanna-Jefferson City,Franklin," $78,385,665 "," $8,731,342 ",11.14%," $80,478,822 "," $9,033,224 ",11.22%," $82,878,334 "," $7,915,107 ",9.55%,"$81,013,632","$9,233,662",11.4%,"$81,548,620","$10,350,036",12.7%,11.2%,6
046979,Groveport Madison Local,Franklin," $65,181,045 "," $2,022,149 ",3.10%," $69,374,254 "," $80,292 ",0.12%," $67,858,413 "," $43,474 ",0.06%,"$65,434,967","$485,748",0.7%,"$72,493,303","$7,051,465",9.7%,2.8%,7
046995,New Albany-Plain Local,Franklin," $51,127,678 "," $17,652,705 ",34.53%," $53,450,371 "," $15,901,260 ",29.75%," $55,384,600 "," $14,423,319 ",26.04%,"$58,217,246","$12,357,146",21.2%,"$55,421,365","$16,747,884",30.2%,28.4%,6
047001,Reynoldsburg City,Franklin," $54,342,470 "," $9,207,654 ",16.94%," $57,475,485 "," $11,768,173 ",20.48%," $65,238,093 "," $10,276,291 ",15.75%,"$61,563,028","$17,406,215",28.3%,"$65,261,257","$24,352,172",37.3%,23.8%,5
047019,Hilliard City,Franklin," $159,944,218 "," $17,544,507 ",10.97%," $161,371,143 "," $21,185,282 ",13.13%," $165,613,880 "," $27,199,084 ",16.42%,"$168,514,546","$33,217,860",19.7%,"$171,218,354","$40,250,924",23.5%,16.7%,6
047027,Dublin City,Franklin," $163,582,592 "," $38,645,410 ",23.62%," $166,253,117 "," $38,241,503 ",23.00%," $170,808,676 "," $47,374,313 ",27.74%,"$176,577,172","$58,577,996",33.2%,"$179,355,222","$69,186,086",38.6%,29.2%,6
047043,Archbold-Area Local,Fulton," $11,779,882 "," $4,664,770 ",39.60%," $11,980,342 "," $3,822,101 ",31.90%," $12,771,466 "," $2,582,046 ",20.22%,"$11,874,718","$3,863,254",32.5%,"$11,957,812","$4,635,208",38.8%,32.6%,3
047050,Evergreen Local,Fulton," $12,086,395 "," $4,960,392 ",41.04%," $12,310,454 "," $4,980,038 ",40.45%," $12,438,240 "," $5,627,516 ",45.24%,"$13,002,601","$7,004,045",53.9%,"$13,269,698","$8,718,494",65.7%,49.3%,2
047068,Fayette Local,Fulton," $4,266,267 "," $1,474,782 ",34.57%," $4,318,975 "," $1,414,191 ",32.74%," $4,182,651 "," $1,692,414 ",40.46%,"$4,371,016","$2,050,372",46.9%,"$4,700,920","$2,670,075",56.8%,42.3%,1
047076,Pettisville Local,Fulton," $4,601,203 "," $1,207,092 ",26.23%," $4,541,251 "," $1,169,321 ",25.75%," $4,984,693 "," $871,726 ",17.49%,"$4,775,262","$906,095",19.0%,"$5,235,606","$942,807",18.0%,21.3%,2
047084,Pike-Delta-York Local,Fulton," $12,758,706 "," $1,040,661 ",8.16%," $12,153,015 "," $836,202 ",6.88%," $12,332,997 "," $1,360,928 ",11.03%,"$12,559,371","$2,518,514",20.1%,"$13,053,798","$3,377,673",25.9%,14.4%,1
047092,Swanton Local,Fulton," $12,843,005 "," $6,961,167 ",54.20%," $12,397,624 "," $6,220,703 ",50.18%," $12,082,693 "," $6,397,273 ",52.95%,"$12,761,772","$6,545,521",51.3%,"$12,845,174","$7,096,302",55.2%,52.8%,3
047167,Berkshire Local,Geauga," $11,259,316 "," $2,098,330 ",18.64%," $11,069,360 "," $1,673,700 ",15.12%," $11,107,668 "," $1,592,123 ",14.33%,"$11,415,396","$1,502,915",13.2%,"$16,282,423","$2,746,302",16.9%,15.6%,3
047175,Cardinal Local,Geauga," $13,700,628 ", - ,-," $12,412,206 ", $-   ,0.00%," $13,419,072 ", $-   ,0.00%,"$13,974,798",$0,0.0%,"$13,974,519","-$102,648",-0.7%,-0.2%,1
047183,Chardon Local,Geauga," $29,404,320 "," $351,515 ",1.20%," $28,289,823 "," $403,938 ",1.43%," $30,138,465 "," $1,977,125 ",6.56%,"$31,162,354","$4,289,531",13.8%,"$31,449,644","$5,914,166",18.8%,8.4%,5
047191,Kenston Local,Geauga," $32,529,822 "," $12,402,675 ",38.13%," $34,788,544 "," $11,923,202 ",34.27%," $34,525,589 "," $11,701,388 ",33.89%,"$35,647,628","$11,122,268",31.2%,"$36,250,728","$11,137,777",30.7%,33.6%,6
047217,Newbury Local,Geauga," $8,453,468 "," $1,371,179 ",16.22%," $8,555,576 "," $791,921 ",9.26%," $8,613,322 "," $427,824 ",4.97%,"$8,459,554","$868,097",10.3%,"$8,389,457","$2,274,152",27.1%,13.6%,3
047225,West Geauga Local,Geauga," $25,004,308 "," $6,992,889 ",27.97%," $24,100,102 "," $8,460,463 ",35.11%," $24,388,856 "," $10,250,326 ",42.03%,"$24,918,884","$11,932,831",47.9%,"$24,823,092","$12,652,413",51.0%,40.8%,5
047241,Beavercreek City,Greene," $73,232,184 "," $19,024,991 ",25.98%," $68,490,278 "," $17,223,645 ",25.15%," $76,853,794 "," $13,640,350 ",17.75%,"$74,123,614","$23,586,986",31.8%,"$78,899,230","$27,769,568",35.2%,27.2%,6
047258,Cedar Cliff Local,Greene," $5,739,815 "," $2,479,456 ",43.20%," $5,989,658 "," $2,548,790 ",42.55%," $6,403,428 "," $2,964,706 ",46.30%,"$6,189,735","$3,562,603",57.6%,"$6,254,891","$4,338,679",69.4%,51.8%,3
047266,Greeneview Local,Greene," $11,669,056 "," $6,791,993 ",58.21%," $12,215,104 "," $7,265,995 ",59.48%," $13,690,802 "," $6,450,298 ",47.11%,"$13,467,913","$6,890,359",51.2%,"$13,128,326","$7,634,060",58.1%,54.8%,2
047274,Bellbrook-Sugarcreek Local School District,Greene," $24,655,389 "," $2,508,554 ",10.17%," $23,198,428 "," $3,245,535 ",13.99%," $22,745,632 "," $4,802,914 ",21.12%,"$23,905,257","$5,316,916",22.2%,"$25,904,812","$5,345,007",20.6%,17.6%,6
047308,Rolling Hills Local,Guernsey," $16,404,583 "," $3,095,965 ",18.87%," $16,906,405 "," $3,744,384 ",22.15%," $16,699,641 "," $4,591,799 ",27.50%,"$16,851,866","$5,138,227",30.5%,"$17,233,672","$5,983,513",34.7%,26.7%,1
047332,Finneytown Local,Hamilton," $17,796,797 "," $2,301,722 ",12.93%," $17,222,313 "," $3,029,343 ",17.59%," $17,132,235 "," $3,844,309 ",22.44%,"$18,287,248","$4,657,283",25.5%,"$18,953,349","$4,521,294",23.9%,20.5%,5
047340,Forest Hills Local,Hamilton," $70,545,915 "," $9,687,247 ",13.73%," $71,849,314 "," $8,625,752 ",12.01%," $70,706,142 "," $13,011,486 ",18.40%,"$73,430,661","$16,185,863",22.0%,"$74,496,975","$18,580,839",24.9%,18.2%,6
047365,Northwest Local,Hamilton," $80,221,180 "," $17,547,767 ",21.87%," $78,700,037 "," $21,191,920 ",26.93%," $76,261,565 "," $33,453,286 ",43.87%,"$81,269,605","$41,645,464",51.2%,"$84,734,535","$43,288,970",51.1%,39.0%,5
047373,Oak Hills Local,Hamilton," $63,867,411 "," $17,238,441 ",26.99%," $63,299,515 "," $15,496,163 ",24.48%," $64,714,347 "," $16,659,869 ",25.74%,"$64,467,593","$24,647,956",38.2%,"$66,525,764","$28,598,165",43.0%,31.7%,5
047381,Southwest Local,Hamilton," $29,614,884 "," $1,957,711 ",6.61%," $28,968,812 "," $3,560,031 ",12.29%," $29,821,159 "," $4,982,599 ",16.71%,"$30,180,129","$6,532,041",21.6%,"$30,553,753","$8,027,285",26.3%,16.7%,3
047399,Three Rivers Local,Hamilton," $19,618,930 "," $8,660,438 ",44.14%," $19,250,529 "," $9,642,878 ",50.09%," $21,254,833 "," $8,977,794 ",42.24%,"$20,981,965","$9,695,159",46.2%,"$20,175,970","$11,196,237",55.5%,47.6%,5
047415,Arcadia Local,Hancock," $5,442,690 "," $3,907,991 ",71.80%," $5,556,097 "," $4,182,145 ",75.27%," $5,676,944 "," $4,811,764 ",84.76%,"$6,502,472","$4,749,214",73.0%,"$6,290,364","$5,459,694",86.8%,78.3%,1
047423,Arlington Local,Hancock," $6,174,163 "," $2,010,763 ",32.57%," $6,240,215 "," $1,608,035 ",25.77%," $6,112,353 "," $1,600,442 ",26.18%,"$6,142,911","$1,712,097",27.9%,"$6,094,459","$2,180,366",35.8%,29.6%,2
047431,Cory-Rawson Local,Hancock," $6,927,089 "," $596,383 ",8.61%," $6,727,892 "," $813,765 ",12.10%," $6,816,424 "," $1,595,679 ",23.41%,"$7,454,046","$1,975,540",26.5%,"$7,280,082","$2,695,894",37.0%,21.5%,3
047449,Liberty-Benton Local,Hancock," $12,187,903 "," $5,573,960 ",45.73%," $12,736,084 "," $5,961,900 ",46.81%," $12,944,104 "," $6,546,600 ",50.58%,"$13,308,930","$7,077,019",53.2%,"$13,958,919","$7,448,420",53.4%,49.9%,3
047456,McComb Local,Hancock," $7,123,941 "," $2,042,816 ",28.68%," $6,977,070 "," $2,259,201 ",32.38%," $7,158,659 "," $2,785,717 ",38.91%,"$7,193,391","$3,426,902",47.6%,"$7,283,846","$4,631,595",63.6%,42.2%,2
047464,Van Buren Local,Hancock," $10,258,602 "," $7,508,588 ",73.19%," $10,083,959 "," $7,309,086 ",72.48%," $10,670,667 "," $7,371,529 ",69.08%,"$11,316,690","$7,105,079",62.8%,"$11,340,023","$6,653,358",58.7%,67.2%,3
047472,Vanlue Local,Hancock," $2,790,523 "," $2,936,891 ",105.25%," $2,942,381 "," $3,350,196 ",113.86%," $3,139,122 "," $3,888,401 ",123.87%,"$3,579,019","$4,055,309",113.3%,"$3,657,830","$4,213,454",115.2%,114.3%,2
047498,Hardin Northern Local,Hardin," $4,562,057 "," $2,811,513 ",61.63%," $4,802,676 "," $3,020,223 ",62.89%," $5,036,494 "," $3,187,960 ",63.30%,"$5,110,112","$3,634,281",71.1%,"$5,380,123","$4,530,281",84.2%,68.6%,2
047506,Ridgemont Local,Hardin," $5,209,314 "," $1,087,383 ",20.87%," $5,269,682 "," $1,499,219 ",28.45%," $5,612,240 "," $1,758,150 ",31.33%,"$5,787,244","$2,085,181",36.0%,"$5,714,013","$3,515,227",61.5%,35.6%,2
047514,Riverdale Local,Hancock," $9,474,902 "," $355,410 ",3.75%," $9,544,916 "," $643,597 ",6.74%," $9,855,475 "," $1,378,808 ",13.99%,"$10,384,831","$1,666,030",16.0%,"$10,940,854","$2,307,246",21.1%,12.3%,2
047522,Upper Scioto Valley Local,Hardin," $6,776,038 "," $382,736 ",5.65%," $5,795,061 "," $1,514,403 ",26.13%," $6,170,965 "," $2,314,489 ",37.51%,"$6,869,026","$2,854,673",41.6%,"$7,151,495","$3,314,221",46.3%,31.4%,2
047548,Conotton Valley Union Local,Harrison," $5,244,139 "," $457,169 ",8.72%," $4,828,964 "," $533,778 ",11.05%," $4,638,379 "," $831,653 ",17.93%,"$4,572,695","$1,524,975",33.3%,"$4,871,235","$2,045,527",42.0%,22.6%,1
047571,Holgate Local,Henry," $4,867,729 "," $2,102,084 ",43.18%," $4,960,449 "," $2,118,521 ",42.71%," $5,215,933 "," $2,188,652 ",41.96%,"$5,191,703","$2,669,691",51.4%,"$5,260,078","$3,311,240",63.0%,48.4%,2
047589,Liberty Center Local,Henry," $11,504,789 "," $5,642,787 ",49.05%," $11,875,223 "," $5,245,428 ",44.17%," $11,492,170 "," $6,006,459 ",52.27%,"$12,063,869","$6,301,952",52.2%,"$12,280,145","$6,631,933",54.0%,50.3%,2
047597,Patrick Henry Local,Henry," $9,614,620 "," $1,719,230 ",17.88%," $9,499,297 "," $2,664,446 ",28.05%," $10,086,517 "," $3,942,734 ",39.09%,"$9,823,109","$6,251,952",63.6%,"$10,570,035","$7,841,030",74.2%,44.6%,2
047613,Bright Local,Highland," $7,357,461 "," $1,732,525 ",23.55%," $7,348,061 "," $1,643,155 ",22.36%," $7,597,430 "," $1,561,295 ",20.55%,"$7,614,493","$1,623,499",21.3%,"$7,906,233","$1,902,060",24.1%,22.4%,2
047621,Fairfield Local,Highland," $7,404,286 "," $2,041,752 ",27.58%," $7,368,257 "," $2,131,680 ",28.93%," $7,731,710 "," $2,429,238 ",31.42%,"$7,863,299","$3,181,571",40.5%,"$8,698,353","$4,922,464",56.6%,37.0%,1
047639,Lynchburg-Clay Local,Highland," $11,245,489 "," $7,452,297 ",66.27%," $11,555,553 "," $6,782,719 ",58.70%," $11,652,813 "," $6,841,331 ",58.71%,"$12,468,070","$6,933,679",55.6%,"$11,567,301","$9,349,664",80.8%,64.0%,2
047688,East Holmes Local,Holmes," $15,354,185 "," $4,503,063 ",29.33%," $14,258,199 "," $5,055,900 ",35.46%," $14,475,278 "," $5,883,246 ",40.64%,"$14,863,622","$6,999,565",47.1%,"$15,237,986","$8,016,013",52.6%,41.0%,1
047696,West Holmes Local,Holmes," $22,011,689 "," $10,341,546 ",46.98%," $21,922,110 "," $9,064,949 ",41.35%," $22,178,295 "," $8,614,451 ",38.84%,"$21,425,173","$9,059,428",42.3%,"$21,001,482","$10,449,803",49.8%,43.8%,1
047712,Monroeville Local,Huron," $6,332,025 "," $887,385 ",14.01%," $6,725,519 "," $521,920 ",7.76%," $6,854,886 "," $242,121 ",3.53%,"$7,044,967","-$191,970",-2.7%,"$6,985,696","$384,915",5.5%,5.6%,1
047720,New London Local,Huron," $9,668,795 "," $1,922,919 ",19.89%," $9,772,616 "," $1,398,630 ",14.31%," $9,603,381 "," $1,366,548 ",14.23%,"$10,133,997","$1,305,395",12.9%,"$10,293,716","$2,343,723",22.8%,16.8%,1
047738,South Central Local,Huron," $7,840,829 "," $2,664,347 ",33.98%," $8,256,507 "," $2,129,420 ",25.79%," $8,040,371 "," $2,491,762 ",30.99%,"$8,595,819","$2,472,635",28.8%,"$8,770,995","$3,333,614",38.0%,31.5%,1
047746,Western Reserve Local,Huron," $11,475,298 "," $1,187,089 ",10.34%," $11,494,598 "," $1,065,033 ",9.27%," $11,357,143 "," $1,468,603 ",12.93%,"$11,788,289","$1,287,522",10.9%,"$12,639,843","$1,022,841",8.1%,10.3%,1
047761,Oak Hill Union Local,Jackson," $11,346,684 "," $7,462,947 ",65.77%," $11,052,874 "," $7,462,312 ",67.51%," $11,639,556 "," $7,579,553 ",65.12%,"$12,076,378","$7,816,087",64.7%,"$13,383,078","$7,842,870",58.6%,64.3%,2
047787,Buckeye Local,Jefferson," $18,786,669 "," $1,565,317 ",8.33%," $20,179,769 "," $1,074,952 ",5.33%," $20,468,798 "," $1,064,451 ",5.20%,"$20,807,877","$1,158,107",5.6%,"$21,556,887","$634,928",2.9%,5.5%,1
047795,Edison Local,Jefferson," $18,453,231 "," $661,109 ",3.58%," $17,267,789 "," $1,511,898 ",8.76%," $17,493,931 "," $1,986,995 ",11.36%,"$17,737,340","$3,108,773",17.5%,"$17,922,335","$5,195,828",29.0%,14.0%,1
047803,Indian Creek Local,Jefferson," $19,679,759 "," $904,220 ",4.59%," $19,178,228 "," $342,588 ",1.79%," $18,642,417 "," $1,148,403 ",6.16%,"$19,705,509","$1,217,524",6.2%,"$20,035,462","$880,963",4.4%,4.6%,4
047829,Centerburg Local,Knox," $9,213,855 "," $3,463,312 ",37.59%," $9,004,506 "," $3,787,956 ",42.07%," $9,524,098 "," $3,846,518 ",40.39%,"$9,775,971","$3,904,978",39.9%,"$10,089,834","$4,290,995",42.5%,40.5%,3
047837,Danville Local,Knox," $5,872,003 "," $2,807,406 ",47.81%," $6,248,826 "," $2,752,608 ",44.05%," $5,963,037 "," $3,455,862 ",57.95%,"$6,356,773","$4,239,587",66.7%,"$6,828,001","$5,396,397",79.0%,59.1%,2
047845,East Knox Local,Knox," $10,196,454 "," $830,274 ",8.14%," $10,105,914 "," $678,181 ",6.71%," $9,657,030 "," $1,160,002 ",12.01%,"$9,950,509","$1,588,679",16.0%,"$9,633,496","$2,459,168",25.5%,13.7%,2
047852,Fredericktown Local,Knox," $8,654,786 "," $2,471,436 ",28.56%," $8,569,278 "," $2,624,341 ",30.62%," $8,948,287 "," $3,070,199 ",34.31%,"$9,493,393","$3,698,030",39.0%,"$9,645,072","$4,946,505",51.3%,36.7%,1
047878,Kirtland Local,Lake," $13,919,160 "," $5,475,382 ",39.34%," $13,167,179 "," $5,680,800 ",43.14%," $13,656,389 "," $6,386,271 ",46.76%,"$14,482,009","$6,537,095",45.1%,"$14,422,416","$5,191,020",36.0%,42.1%,5
047886,Madison Local,Lake," $24,803,408 "," $425,414 ",1.72%," $24,283,242 "," $446,325 ",1.84%," $24,819,709 "," $881,516 ",3.55%,"$24,792,381","$1,869,046",7.5%,"$24,507,843","$3,169,962",12.9%,5.5%,4
047894,Riverside Local,Lake," $43,584,009 "," $869,525 ",2.00%," $39,195,743 "," $2,861,301 ",7.30%," $38,359,447 "," $4,416,412 ",11.51%,"$40,250,465","$5,819,516",14.5%,"$41,069,457","$6,516,309",15.9%,10.2%,5
047902,Perry Local,Lake," $25,894,483 "," $20,838,550 ",80.47%," $23,975,992 "," $20,861,280 ",87.01%," $24,624,785 "," $20,077,170 ",81.53%,"$24,915,118","$19,684,824",79.0%,"$23,944,378","$20,601,612",86.0%,82.8%,5
047928,Dawson-Bryant Local,Lawrence," $12,025,076 "," $3,716,712 ",30.91%," $11,057,781 "," $4,191,020 ",37.90%," $12,074,881 "," $4,276,461 ",35.42%,"$12,049,077","$4,606,990",38.2%,"$12,874,517","$5,531,188",43.0%,37.1%,2
047936,Fairland Local,Lawrence," $13,468,059 "," $5,096,827 ",37.84%," $14,114,187 "," $4,179,995 ",29.62%," $14,157,210 "," $3,817,879 ",26.97%,"$14,007,020","$3,389,259",24.2%,"$13,726,297","$3,254,711",23.7%,28.5%,3
047944,Rock Hill Local,Lawrence," $17,012,063 "," $2,635,768 ",15.49%," $17,184,577 "," $3,610,301 ",21.01%," $17,865,354 "," $4,325,055 ",24.21%,"$17,716,557","$5,254,786",29.7%,"$18,959,164","$6,479,380",34.2%,24.9%,2
047951,South Point Local,Lawrence," $15,157,712 "," $6,863,509 ",45.28%," $15,534,812 "," $7,410,127 ",47.70%," $16,745,922 "," $7,023,031 ",41.94%,"$16,846,478","$6,552,995",38.9%,"$16,771,441","$6,922,307",41.3%,43.0%,4
047969,Symmes Valley Local,Lawrence," $8,449,771 "," $3,199,699 ",37.87%," $8,009,084 "," $3,187,202 ",39.79%," $8,228,205 "," $3,241,951 ",39.40%,"$8,981,840","$3,190,835",35.5%,"$8,920,561","$1,386,975",15.5%,33.6%,2
047985,Johnstown-Monroe Local,Licking," $12,704,738 "," $11,061,722 ",87.07%," $13,141,006 "," $13,265,517 ",100.95%," $13,497,233 "," $15,582,031 ",115.45%,"$13,986,350","$17,974,806",128.5%,"$18,714,014","$16,294,448",87.1%,103.8%,3
047993,Lakewood Local,Licking," $19,240,303 "," $7,988,117 ",41.52%," $19,965,184 "," $8,807,660 ",44.12%," $19,624,256 "," $11,869,510 ",60.48%,"$20,138,706","$15,393,497",76.4%,"$20,879,392","$18,145,128",86.9%,61.9%,4
048009,Licking Heights Local,Licking," $28,448,988 "," $137,361 ",0.48%," $28,262,552 "," $4,377,184 ",15.49%," $32,885,669 "," $5,195,259 ",15.80%,"$35,583,479","$5,336,021",15.0%,"$37,048,045","$6,145,342",16.6%,12.7%,5
048017,Licking Valley Local,Licking," $17,169,351 "," $6,541,778 ",38.10%," $17,966,270 "," $5,807,292 ",32.32%," $17,416,311 "," $6,546,334 ",37.59%,"$17,786,942","$7,294,431",41.0%,"$18,046,154","$8,155,968",45.2%,38.8%,3
048025,North Fork Local,Licking," $16,330,651 "," $817,458 ",5.01%," $15,662,469 "," $1,675,413 ",10.70%," $14,855,043 "," $3,271,913 ",22.03%,"$15,359,362","$4,998,258",32.5%,"$15,917,230","$6,199,350",38.9%,21.8%,2
048033,Northridge Local,Licking," $11,471,301 "," $6,260,915 ",54.58%," $10,605,531 "," $8,315,662 ",78.41%," $12,074,498 "," $8,548,794 ",70.80%,"$14,417,825","$6,969,482",48.3%,"$13,735,867","$6,615,102",48.2%,60.1%,3
048041,Southwest Licking Local,Licking," $33,623,526 "," $3,154,611 ",9.38%," $33,427,284 "," $3,434,842 ",10.28%," $33,208,822 "," $6,165,578 ",18.57%,"$34,017,330","$9,486,117",27.9%,"$35,592,751","$12,804,160",36.0%,20.4%,5
048074,Benjamin Logan Local,Logan," $17,214,151 "," $4,632,330 ",26.91%," $16,606,217 "," $4,575,932 ",27.56%," $16,820,764 "," $5,189,104 ",30.85%,"$17,262,643","$5,723,458",33.2%,"$18,348,402","$5,615,159",30.6%,29.8%,3
048082,Indian Lake Local,Logan," $16,074,890 "," $4,115,448 ",25.60%," $15,921,490 ", $-   ,0.00%," $15,506,490 ", $-   ,0.00%,"$16,244,724",$0,0.0%,"$16,581,553","$7,902,609",47.7%,14.7%,4
048090,Riverside Local,Logan," $7,118,098 "," $627,400 ",8.81%," $6,725,593 "," $938,702 ",13.96%," $6,534,897 "," $1,980,270 ",30.30%,"$7,010,100","$3,296,697",47.0%,"$6,958,834","$5,003,722",71.9%,34.4%,2
048116,Avon Local,Lorain," $28,269,988 "," $12,198,323 ",43.15%," $30,887,309 "," $12,808,038 ",41.47%," $33,736,846 "," $12,100,612 ",35.87%,"$34,452,425","$11,840,962",34.4%,"$37,606,595","$9,899,616",26.3%,36.2%,6
048124,Avon Lake City,Lorain," $38,743,172 "," $9,891,455 ",25.53%," $39,351,605 "," $5,343,035 ",13.58%," $36,682,883 "," $6,478,668 ",17.66%,"$36,952,146","$10,638,042",28.8%,"$37,465,384","$14,471,418",38.6%,24.8%,6
048132,Clearview Local,Lorain," $14,384,931 "," $64,993 ",0.45%," $16,860,593 "," $3,066,784 ",18.19%," $16,951,029 "," $4,224,673 ",24.92%,"$17,023,177","$5,842,432",34.3%,"$14,351,987","$3,727,332",26.0%,20.8%,4
048140,Columbia Local,Lorain," $10,620,175 "," $348,076 ",3.28%," $10,127,455 "," $392,822 ",3.88%," $9,244,429 "," $1,447,948 ",15.66%,"$9,922,366","$2,308,877",23.3%,"$9,474,059","$4,265,388",45.0%,18.2%,3
048157,Firelands Local,Lorain," $17,005,662 "," $2,195,281 ",12.91%," $16,860,593 "," $3,066,784 ",18.19%," $16,951,029 "," $4,224,673 ",24.92%,"$17,023,177","$5,842,432",34.3%,"$17,729,082","$6,830,107",38.5%,25.8%,3
048165,Keystone Local,Lorain," $14,071,430 "," $4,602,189 ",32.71%," $14,415,019 "," $3,910,429 ",27.13%," $15,452,080 "," $2,347,516 ",15.19%,"$14,689,210","$1,983,229",13.5%,"$14,430,402","$2,508,766",17.4%,21.2%,3
048173,Midview Local,Lorain," $27,938,749 "," $5,149,114 ",18.43%," $28,794,125 "," $2,548,794 ",8.85%," $30,597,335 "," $2,556,388 ",8.35%,"$29,458,423","$5,274,494",17.9%,"$30,793,625","$8,229,894",26.7%,16.1%,3
048207,Anthony Wayne Local,Lucas," $33,454,062 "," $7,414,926 ",22.16%," $34,328,375 "," $5,506,688 ",16.04%," $35,929,912 "," $4,031,251 ",11.22%,"$36,931,926","$5,613,571",15.2%,"$38,214,096","$6,515,317",17.0%,16.3%,5
048215,Ottawa Hills Local,Lucas," $13,258,905 "," $4,340,511 ",32.74%," $12,355,523 "," $4,963,537 ",40.17%," $12,805,367 "," $5,847,666 ",45.67%,"$12,957,549","$7,317,852",56.5%,"$13,331,148","$8,869,158",66.5%,48.3%,6
048223,Springfield Local,Lucas," $35,730,960 "," $4,563,039 ",12.77%," $35,841,432 "," $4,638,703 ",12.94%," $39,288,811 "," $1,785,083 ",4.54%,"$36,654,931","$1,553,426",4.2%,"$35,298,013","$7,740,686",21.9%,11.3%,5
048231,Washington Local,Lucas," $71,676,721 "," $33,005,084 ",46.05%," $71,986,418 "," $32,352,825 ",44.94%," $76,771,303 "," $28,141,932 ",36.66%,"$77,283,402","$29,090,946",37.6%,"$79,567,875","$30,248,367",38.0%,40.7%,7
048256,Jefferson Local,Madison," $15,153,952 "," $2,382,599 ",15.72%," $12,027,637 "," $4,323,908 ",35.95%," $12,367,392 "," $4,423,141 ",35.76%,"$12,712,513","$4,949,969",38.9%,"$13,181,639","$5,706,683",43.3%,33.9%,3
048264,Jonathan Alder Local,Madison," $16,768,438 "," $1,160,743 ",6.92%," $17,306,977 "," $114,461 ",0.66%," $16,804,421 "," $687,880 ",4.09%,"$16,671,073","$2,005,137",12.0%,"$18,636,474","$3,978,691",21.3%,9.0%,3
048272,Madison-Plains Local,Madison," $15,799,011 "," $6,425,636 ",40.67%," $13,767,403 "," $7,222,292 ",52.46%," $13,896,368 "," $6,142,217 ",44.20%,"$14,311,556","$5,335,164",37.3%,"$14,321,594","$4,670,548",32.6%,41.4%,2
048298,Austintown Local,Mahoning," $40,510,676 "," $6,458,791 ",15.94%," $40,415,738 "," $6,314,409 ",15.62%," $42,916,183 "," $4,828,711 ",11.25%,"$44,667,820","$6,235,289",14.0%,"$43,763,360","$7,801,880",17.8%,14.9%,7
048306,Boardman Local,Mahoning," $39,239,450 "," $7,388,930 ",18.83%," $40,348,418 "," $7,767,782 ",19.25%," $41,854,095 "," $8,293,913 ",19.82%,"$42,735,503","$9,777,494",22.9%,"$46,320,268","$9,478,653",20.5%,20.2%,5
048314,Canfield Local,Mahoning," $23,662,602 "," $5,260,804 ",22.23%," $23,608,537 "," $5,156,107 ",21.84%," $23,031,998 "," $7,354,610 ",31.93%,"$23,786,997","$10,786,659",45.3%,"$25,067,447","$13,232,480",52.8%,34.8%,5
048322,Jackson-Milton Local,Mahoning," $8,427,734 "," $2,759,853 ",32.75%," $8,924,375 "," $2,297,951 ",25.75%," $8,912,440 "," $2,280,173 ",25.58%,"$8,838,489","$2,841,586",32.2%,"$9,018,436","$3,251,588",36.1%,30.5%,3
048330,Lowellville Local,Mahoning," $5,798,230 "," $1,006,632 ",17.36%," $4,276,162 "," $1,474,012 ",34.47%," $4,733,077 "," $1,552,999 ",32.81%,"$4,853,910","$1,700,888",35.0%,"$4,996,209","$1,951,410",39.1%,31.7%,3
048348,Poland Local,Mahoning," $19,573,705 "," $2,156,410 ",11.02%," $18,909,554 "," $3,033,599 ",16.04%," $19,832,400 "," $3,661,811 ",18.46%,"$20,272,565","$4,579,655",22.6%,"$21,784,332","$3,820,857",17.5%,17.1%,5
048355,Sebring Local,Mahoning," $6,220,316 "," $363,047 ",5.84%," $6,336,976 "," $152,506 ",2.41%," $6,237,280 "," $402,989 ",6.46%,"$6,137,098","$1,158,214",18.9%,"$6,576,548","$2,272,354",34.6%,13.6%,4
048363,South Range Local,Mahoning," $11,857,442 "," $2,191,414 ",18.48%," $11,634,556 "," $903,029 ",7.76%," $11,160,022 "," $907,911 ",8.14%,"$11,555,370","$1,642,154",14.2%,"$12,287,753","$2,096,707",17.1%,13.1%,3
